id,name
339,한양여자대학교
340,한영대학교
341,혜전대학교
342,경기과학기술대학교
343,부산예술대학교
344,전남도립대학교
345,송호대학교
346,한국관광대학교
347,서정대학교
348,송곡대학교
349,웅지세무대학교
350,김해대학교
351,한국승강기대학교
352,순복음총회신학교
353,세계사이버대학
354,영진사이버대학교
355,한국복지사이버대학
356,경희사이버대학교
357,국제사이버대학교
358,대구사이버대학교
359,부산디지털대학교
360,서울디지털대학교
361,서울사이버대학교
362,영남사이버대학교
363,세종사이버대학교
364,한국열린사이버대학교
365,원광디지털대학교
366,고려사이버대학교
367,숭실사이버대학교
368,디지털서울문화예술대학교
369,한양사이버대학교
370,사이버한국외국어대학교
371,화신사이버대학교
372,글로벌사이버대학교
373,건양사이버대학교
374,한국과학기술원
375,광주과학기술원
376,대구경북과학기술원
377,한국예술종합학교
378,한국전통문화대학교
379,한국농수산대학
380,한국골프대학교
381,ICT폴리텍대학
382,한국폴리텍대학 서울정수캠퍼스
383,한국폴리텍대학 서울강서캠퍼스
384,한국폴리텍 I 대학 성남캠퍼스
385,한국폴리텍 I 대학 제주캠퍼스
386,한국폴리텍대학 인천캠퍼스
387,한국폴리텍 II 대학 남인천캠퍼스
388,한국폴리텍특성화대학 반도체융합캠퍼스
389,한국폴리텍 III 대학 춘천캠퍼스
390,한국폴리텍 III 대학 강릉캠퍼스
391,한국폴리텍 III 대학 원주캠퍼스
392,한국폴리텍 IV 대학 대전캠퍼스
393,한국폴리텍IV 대학 청주캠퍼스
394,한국폴리텍 IV 대학 아산캠퍼스
395,한국폴리텍 IV 대학 홍성캠퍼스
396,한국폴리텍V대학 광주캠퍼스
397,한국폴리텍 V 대학 김제캠퍼스
398,한국폴리텍V대학 목포캠퍼스
399,한국폴리텍대학 익산캠퍼스
400,한국폴리텍 V 대학 순천캠퍼스
401,한국폴리텍대학 대구캠퍼스
402,한국폴리텍대학 구미캠퍼스
403,한국폴리텍 Ⅵ 대학 영주캠퍼스
404,한국폴리텍대학 창원캠퍼스
405,한국폴리텍Ⅶ대학 부산캠퍼스
406,한국폴리텍 VII 대학 울산캠퍼스
407,한국폴리텍대학바이오캠퍼스
408,한국폴리텍대학 영남융합기술캠퍼스
409,한국폴리텍대학 항공캠퍼스
